id,industry_id,lang_code,name
282486870825242624,2012,en,Currency Exchange
10282486870825242624,2012,zh-CN,货币兑换
1701292343911112427,10,en,Lifestyle & Services
11701292343911112427,10,zh-CN,生活方式与服务
1701292343911567127,8005,en,Automotive
11701292343911567127,8005,zh-CN,汽车服务
1701292343912711123,1066,en,Immigration
11701292343912711123,1066,zh-CN,移民
1701292343912711124,1067,en,Business Networking
11701292343912711124,1067,zh-CN,商务社交
1701292343912711125,1053,en,Education & Training
11701292343912711125,1053,zh-CN,教育与培训
1701292343912711567,6005,en,Photography
11701292343912711567,6005,zh-CN,摄影
1701292371112343910,5011,en,Pest Control
11701292371112343910,5011,zh-CN,害虫防治
1701292371112343911,5012,en,Roofing
11701292371112343911,5012,zh-CN,屋顶工程
1701292371112343912,5013,en,Moving
11701292371112343912,5013,zh-CN,搬家
1701292371112343948,3009,en,NDIS Providers
11701292371112343948,3009,zh-CN,NDIS 服务提供商
1701292371112343951,5002,en,Electrician
11701292371112343951,5002,zh-CN,电工
1701292371112343952,5003,en,Plumber
11701292371112343952,5003,zh-CN,管道工
1701292371112343953,5004,en,Carpenter
11701292371112343953,5004,zh-CN,木工
1701292371112343954,5005,en,Painter
11701292371112343954,5005,zh-CN,油漆工
1701292371112343955,5006,en,Solar & Battery
11701292371112343955,5006,zh-CN,太阳能与电池
1701292371112343956,5007,en,Air Conditioning / HVAC
11701292371112343956,5007,zh-CN,空调 / 暖通空调
1701292371112343957,5008,en,Locksmith
11701292371112343957,5008,zh-CN,锁匠
1701292371112343958,5009,en,Cleaning
11701292371112343958,5009,zh-CN,清洁
1701292371112343959,5010,en,Landscaping / Gardening
11701292371112343959,5010,zh-CN,景观 / 园艺
1701292371123439481,3008,en,Aged Care
11701292371123439481,3008,zh-CN,老年护理
1701292371134391212,10004,en,Restaurant & Cafe
11701292371134391212,10004,zh-CN,餐厅与咖啡馆
1701292371134391213,10005,en,Translation Services
11701292371134391213,10005,zh-CN,翻译服务
1701292371134391214,10006,en,Travel Services
11701292371134391214,10006,zh-CN,旅行服务
1701292371134391215,10007,en,Fitness & Gym
11701292371134391215,10007,zh-CN,健身与健身房
1701292371134391216,10008,en,Bar & Nightclub
11701292371134391216,10008,zh-CN,酒吧与夜店
1701292371134391217,10009,en,Events & Entertainment
11701292371134391217,10009,zh-CN,活动与娱乐
1701293423751139481,5001,en,Handyman
11701293423751139481,5001,zh-CN,家庭维修师
1701293439237509481,3006,en,Dentist
11701293439237509481,3006,zh-CN,牙医
1701293439481237112,3007,en,Allied Health
11701293439481237112,3007,zh-CN,辅助医疗
1701293439481237501,1,en,Business & Professional Services
11701293439481237501,1,zh-CN,商业与专业服务
1701293439481237502,2,en,Finance
11701293439481237502,2,zh-CN,金融
1701293439481237503,3,en,Health
11701293439481237503,3,zh-CN,健康医疗
1701293439481237504,4,en,IT
11701293439481237504,4,zh-CN,信息技术 (IT)
1701293439481237505,5,en,Trades & Home Services
11701293439481237505,5,zh-CN,技工与家庭服务
1701293439481237506,6,en,Marketing & Design
11701293439481237506,6,zh-CN,市场营销与设计
1701293439481237507,7,en,Real Estate
11701293439481237507,7,zh-CN,房地产
1701293439481237508,8,en,Retail & Wholesale & Manufacturing
11701293439481237508,8,zh-CN,零售 / 批发 / 制造
1701293439481237509,9,en,Other
11701293439481237509,9,zh-CN,其他
1701293439481237510,1001,en,Accounting
11701293439481237510,1001,zh-CN,会计
1701293439481237511,4001,en,AI Solutions
11701293439481237511,4001,zh-CN,人工智能解决方案
1701293439481237512,7001,en,Architecture
11701293439481237512,7001,zh-CN,建筑设计
1701293439481237513,2001,en,Bank
11701293439481237513,2001,zh-CN,银行
1701293439481237514,10001,en,Salon (beauty / Nail / Hair)
11701293439481237514,10001,zh-CN,沙龙（美容 / 美甲 / 美发）
1701293439481237515,7002,en,Builder
11701293439481237515,7002,zh-CN,建筑商
1701293439481237516,7003,en,Buyer Agent
11701293439481237516,7003,zh-CN,买方代理
1701293439481237517,2002,en,CFD Trading
11701293439481237517,2002,zh-CN,差价合约交易
1701293439481237518,4002,en,Cloud Services
11701293439481237518,4002,zh-CN,云服务
1701293439481237519,1010,en,Consulting
11701293439481237519,1010,zh-CN,咨询
1701293439481237520,2003,en,Crypto
11701293439481237520,2003,zh-CN,加密货币
1701293439481237521,6001,en,Event Management
11701293439481237521,6001,zh-CN,活动管理
1701293439481237522,2004,en,Financial Planning
11701293439481237522,2004,zh-CN,财务规划
1701293439481237523,8001,en,Food And Beverage Services
11701293439481237523,8001,zh-CN,餐饮服务
1701293439481237524,8002,en,Fashion & Apparel
11701293439481237524,8002,zh-CN,时尚与服装
1701293439481237525,1016,en,Foreign Exchange
11701293439481237525,1016,zh-CN,外汇
1701293439481237526,8003,en,Electronics
11701293439481237526,8003,zh-CN,电子产品
1701293439481237527,3001,en,GP Clinic
11701293439481237527,3001,zh-CN,全科诊所
1701293439481237528,6002,en,Graphic & Web Design
11701293439481237528,6002,zh-CN,平面与网页设计
1701293439481237529,1020,en,HR
11701293439481237529,1020,zh-CN,人力资源
