id,service_id,lang_code,name
1801248123750193001,10010001,en,Tax Accountant
11801248123750193001,10010001,zh-CN,税务会计
1801248123750193002,10010002,en,Tax Return
11801248123750193002,10010002,zh-CN,报税
1801248123750193003,10010003,en,BAS Agent
11801248123750193003,10010003,zh-CN,BAS 代理
1801248123750193004,10010004,en,Bookkeeper
11801248123750193004,10010004,zh-CN,簿记
1801248123750193005,10010005,en,Business Accountant
11801248123750193005,10010005,zh-CN,商务会计
1801248123750193006,10010006,en,Tax Advice
11801248123750193006,10010006,zh-CN,税务咨询
1801248123750193007,10010007,en,Company Tax
11801248123750193007,10010007,zh-CN,公司税务
1801248123750193008,10010008,en,GST Return
11801248123750193008,10010008,zh-CN,GST 报税
1801248123750193009,10010009,en,Payroll Services
11801248123750193009,10010009,zh-CN,薪资服务
1801248123750193010,10010010,en,SMSF Accountant
11801248123750193010,10010010,zh-CN,SMSF 会计
1801248123750193011,40010001,en,AI Development
11801248123750193011,40010001,zh-CN,人工智能开发
1801248123750193012,40010002,en,Machine Learning
11801248123750193012,40010002,zh-CN,机器学习
1801248123750193013,40010003,en,Chatbot Development
11801248123750193013,40010003,zh-CN,聊天机器人开发
1801248123750193014,40010004,en,AI Consulting
11801248123750193014,40010004,zh-CN,人工智能咨询
1801248123750193015,40010005,en,Data Science
11801248123750193015,40010005,zh-CN,数据科学
1801248123750193016,40010006,en,AI Automation
11801248123750193016,40010006,zh-CN,人工智能自动化
1801248123750193017,40010007,en,NLP
11801248123750193017,40010007,zh-CN,自然语言处理
1801248123750193018,40010008,en,Computer Vision
11801248123750193018,40010008,zh-CN,计算机视觉
1801248123750193019,40010009,en,Predictive Analytics
11801248123750193019,40010009,zh-CN,预测分析
1801248123750193020,40010010,en,AI Integration
11801248123750193020,40010010,zh-CN,AI 集成
1801248123750193021,70010001,en,Architect
11801248123750193021,70010001,zh-CN,建筑师
1801248123750193022,70010002,en,House Design
11801248123750193022,70010002,zh-CN,住宅设计
1801248123750193023,70010003,en,Building Design
11801248123750193023,70010003,zh-CN,建筑设计
1801248123750193024,70010004,en,Interior Designer
